badRequest	API 请求无效或格式不正确。因此，API 服务器无法理解该请求。
badBinaryDomainRequest	二进制域请求无效。
badContent	不支持请求数据的内容类型或多部分请求的一部分的内容类型。
badLockedDomainRequest	锁定的域请求无效。
corsRequestWithXOrigin	CORS 请求包含一个 XD3 X-Origin 标头，它表示错误的 CORS 请求。
endpointConstraintMismatch	请求失败，因为它与指定的 API 不匹配。检查 URL 路径的值以确保它是正确的。
invalid	请求失败，因为它包含无效值。该值可以是参数值、标头值或属性值。
invalidAltValue	alt参数值指定未知的输出格式。
invalidHeader	请求失败，因为它包含无效的标头。
invalidParameter	请求失败，因为它包含无效的参数或参数值。查看 API 文档以确定哪些参数对您的请求有效。
invalidQuery	请求无效。检查 API 文档以确定请求支持哪些参数，并查看请求是否包含无效的参数组合或无效的参数值。检查q请求参数的值。
keyExpired	请求中提供的 API 密钥已过期，这意味着 API 服务器无法检查发出请求的应用程序的配额限制。查看 Google Developers Console了解更多信息或获取新密钥。
keyInvalid	请求中提供的 API 密钥无效，这意味着 API 服务器无法检查发出请求的应用程序的配额限制。使用 Google Developers Console查找您的 API 密钥或获取一个。
lockedDomainCreationFailure	OAuth 令牌是在查询字符串中收到的，此 API 禁止 JSON 或 XML 以外的响应格式。如果可能，请尝试在 Authorization 标头中发送 OAuth 令牌。
notDownload	只有媒体下载请求可以发送到 URL 路径。将请求重新发送到相同的路径，但没有前缀。/download/*/download
notUpload	请求失败，因为它不是上传请求，只能将上传请求发送到 URI。尝试将请求重新发送到相同的路径，但不带 前缀。/upload/*/upload
parseError	API 服务器无法解析请求正文。
required	API 请求缺少必需的信息。所需信息可以是参数或资源属性。
tooManyParts	多部分请求失败，因为它包含的部分太多
unknownApi	请求调用的 API 无法识别。
unsupportedMediaProtocol	客户端正在使用不受支持的媒体协议。
unsupportedOutputFormat	alt参数值指定此服务不支持的输出格式。检查alt请求参数的值。
wrongUrlForUpload	该请求是一个上传请求，但它失败了，因为它没有发送到正确的 URI。上传请求必须发送到包含 前缀的 URI。尝试将请求重新发送到相同的路径，但带有前缀。/upload/*/upload
unauthorized	用户无权提出请求。
authError	为请求提供的授权凭据无效。检查AuthorizationHTTP 请求标头的值。
expired	会话已过期。检查AuthorizationHTTP 请求标头的值。
lockedDomainExpired	请求失败，因为先前有效的锁定域已过期。
